B,Li1Cs,Li2Cs,Li3Cs
834.3199999999688,171.06794037014,2.895927713209,-11.632574669507
834.3399999999688,171.52188824621,2.9083549571299,-11.628913698028
834.3599999999687,171.97791513412,2.9207893924037,-11.625251040385
834.3799999999687,172.43603581701,2.9332309033578,-11.621586609506
834.3999999999687,172.89626381067,2.9456797723502,-11.617920376498
834.4199999999687,173.35861514098,2.9581357904298,-11.614252402113
834.4399999999687,173.82310345471,2.9705990428522,-11.610582677762
834.4599999999687,174.28974403362,2.9830696636274,-11.606911197726
834.4799999999686,174.75855194431,2.9955473731348,-11.603237931438
834.4999999999686,175.22954187219,3.0080325127397,-11.599562921507
834.5199999999686,175.70273022522,3.0205248527238,-11.595886116148
834.5399999999686,176.17813067533,3.033024500579,-11.592207634542
834.5599999999686,176.65576031701,3.0455316282065,-11.588527276999
834.5799999999685,177.13563360035,3.0580459452622,-11.584845182165
834.5999999999685,177.61776774749,3.0705676705756,-11.581161305316
834.6199999999685,178.10217813299,3.0830967700591,-11.577475642947
834.6399999999685,178.58888178388,3.095633331513,-11.573788226017
834.6599999999685,179.07789280481,3.1081770922493,-11.570099046858
834.6799999999685,179.56922963413,3.1207284017901,-11.566408081044
834.6999999999684,180.06290892632,3.1332871453751,-11.562715277894
834.7199999999684,180.55894661749,3.145853347452,-11.559020713914
834.7399999999684,181.05735990049,3.1584269403536,-11.555324360053
834.7599999999684,181.55816559784,3.1710079819258,-11.55162622046
834.7799999999684,182.06138206575,3.1835966246805,-11.54792632177
834.7999999999683,182.56702625887,3.1961926872137,-11.544224620659
834.8199999999683,183.07511501629,3.2087962902166,-11.540521079961
834.8399999999683,183.5856669203,3.2214074334061,-11.536815748552
834.8599999999683,184.09870019242,3.2340259749636,-11.533108668453
834.8799999999683,184.61423171188,3.2466521985114,-11.529399788862
834.8999999999683,185.13228146317,3.2592859795487,-11.525689048918
834.9199999999682,185.65286695506,3.271927313453,-11.521976533618
834.9399999999682,186.1760065637,3.2845762011316,-11.518262235064
